,Composition,N Lipids/Layer,N_water,Temperature (K),Avg Membrane Thickness,Kappa (q^-4),Kappa (BW-DCF),Kappa (RSF),Node Features,Edge List,Graph-Level Features
0,85% POPC; 15% POPE,2915,195599,310,3.91,33.75,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('NH3', 'Qd'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.85, 0.15]"
1,100% DYPC,2916,205428,310,3.23,25.79,28.6,12.66,"[('D2A', 'C3'), ('D2B', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('GL1', 'PO4'), ('C3B', 'D2B'), ('C3A', 'D2A'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
2,100% PEPC,2916,192590,310,4.06,30.44,28.6,10.83,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D3A', 'D4A'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
3,100% DNPC,2916,179972,310,5.06,39.68,28.6,12.8253125,"[('C6A', 'C1'), ('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('D4A', 'C3'), ('C6B', 'C1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C5A', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C5B', 'C6B'), ('GL1', 'PO4'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('C5A', 'C6A'), ('C3A', 'D4A'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
4,100% DGPC,2916,192590,310,4.41,36.03,28.6,10.93,"[('D3A', 'C3'), ('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('GL1', 'PO4'), ('C4A', 'D3A'), ('C4B', 'D3B'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('NC3', 'PO4'), ('C2B', 'D3B'), ('C1B', 'GL2'), ('C4A', 'C5A'), ('C1A', 'GL1'), ('C4B', 'C5B')]",[1.0]
5,100% DLPC,2916,205428,310,3.42,32.8,28.6,15.51,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('GL1', 'PO4'), ('GL1', 'GL2'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
6,100% DTPC,2916,218268,310,2.73,20.11,28.6,15.34,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('GL1', 'PO4'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
7,100% PAPS,2601,128392,310,3.67,19.21,28.6,4.23,"[('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('CNO', 'P5'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('CNO', 'PO4'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
8,100% PUPE,2601,192590,310,3.68,13.33,28.6,7.42,"[('D5A', 'C4'), ('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('D4A', 'D5A'), ('C1B', 'GL2')]",[1.0]
9,100% PAPE,2601,128393,310,3.79,19.03,28.6,9.02,"[('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
10,100% PAPC,2916,128392,310,3.7,20.58,28.6,8.37,"[('GL2', 'Na'), ('NC3', 'Q0'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('NC3', 'PO4'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
11,100% DPSM,2916,130085,310,3.77,34.45,28.6,15.14,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C3B', 'C4B'), ('AM1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C2A', 'C3A')]",[1.0]
12,100% POPE,2916,130106,310,4.03,35.17,28.6,15.07,"[('D2A', 'C3'), ('GL2', 'Na'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C3B', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]",[1.0]
13,100% PIPC,2916,130105,310,3.72,25.41,28.6,10.38,"[('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
14,100% DIPC,2601,130901,310,3.51,19.26,28.6,9.13,"[('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C4A', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('D3B', 'C4'), ('D2B', 'C4'), ('C4B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C4A', 'D3A'), ('C4B', 'D3B'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('D2B', 'D3B'), ('C1A', 'GL1')]",[1.0]
15,100% POPC,2916,130068,310,3.89,34.33,28.6,12.89,"[('D2A', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]",[1.0]
16,100% DOPC,2916,130093,310,3.77,29.92,28.6,11.73,"[('D2A', 'C3'), ('D2B', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('GL1', 'PO4'), ('C3B', 'D2B'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]",[1.0]
17,100% DPPC,2916,130117,310,4.1,41.25,28.6,15.9,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('GL1', 'PO4'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]",[1.0]
19,100% POPC,2809,130580,310,3.89,33.62,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]",[1.0]
20,100.00% XNSM,2915,179952,310,4.92,41.05,43.57,24.61,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C6B', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C5A', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('AM1', 'PO4'), ('C5B', 'D4B'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C2A', 'C3A'), ('C4A', 'C5A'), ('C3A', 'C4A')]",[1.0]
21,75% POPC; 25% POPE,2916,195573,310,3.93,33.49,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('NH3', 'Qd'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.75, 0.25]"
22,100.00% PAPC,2915,192593,310,3.7,20.36,13.46,17.7,"[('GL2', 'Na'), ('NC3', 'Q0'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('NC3', 'PO4'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
23,100.00% DXSM,2915,179986,310,5.84,41.4,40932.03,68.18,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C6B', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('C3B', 'C4B'), ('AM1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C4B', 'C5B'), ('C2A', 'C3A'), ('C4A', 'C5A'), ('C3A', 'C4A')]",[1.0]
24,100.00% PIPC,2915,195587,310,3.72,25.02,17.44,10.54,"[('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
25,100.00% PAPE,2915,192591,310,3.79,18.13,9.92,19.38,"[('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
26,100% DXPC,2916,179987,310,6.09,62.89,28.6,12.8253125,"[('C6A', 'C1'), ('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C5B', 'C6B'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C5A', 'C6A'), ('C4B', 'C5B'), ('C1B', 'GL2'), ('C4A', 'C5A'), ('C1A', 'GL1'), ('C3A', 'C4A')]",[1.0]
27,100% DVPC,2916,195594,310,3.91,36.57,28.6,12.39,"[('D3A', 'C3'), ('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('D3B', 'C3'), ('C4B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('GL1', 'PO4'), ('C4A', 'D3A'), ('C4B', 'D3B'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('NC3', 'PO4'), ('C2B', 'D3B'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
30,50% POPC; 50% POPE,2916,195573,310,3.97,33.3,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('NH3', 'Qd'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.5, 0.5]"
31,75% POPE; 25% POPC,2916,195556,310,4,32.98,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('NC3', 'Q0'), ('C3B', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.75, 0.25]"
32,85% POPE; 15% POPC,2915,195604,310,4.01,32.53,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('NC3', 'Q0'), ('C3B', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.85, 0.15]"
33,100% DFPC,2916,195597,310,3.41,17.81,28.6,9.04,"[('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('D3B', 'C4'), ('D4A', 'C4'), ('D2B', 'C4'), ('D4B', 'C4'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D3B', 'D4B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('GL1', 'GL2'), ('D3A', 'D4A'), ('C1B', 'D2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('D2B', 'D3B'), ('C1A', 'GL1')]",[1.0]
34,100% DBSM,2916,192590,310,4.45,42.07,28.6,12.8253125,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C3B', 'C4B'), ('AM1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C4B', 'C5B'), ('C2A', 'C3A'), ('C3A', 'C4A')]",[1.0]
35,100% PQPE,2916,192590,310,3.97,20.2,28.6,12.8253125,"[('GL2', 'Na'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D3A', 'D4A'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
36,100% PGPE,2601,192590,310,4.38,39.22,28.6,12.8253125,"[('D3A', 'C3'), ('C2A', 'C1'), ('GL2', 'Na'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C3B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C1B', 'GL2'), ('C4A', 'C5A'), ('C1A', 'GL1')]",[1.0]
37,100% DNPE,2601,180152,310,5.22,32.33,28.6,12.8253125,"[('C6A', 'C1'), ('C2A', 'C1'), ('GL2', 'Na'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('C6B', 'C1'), ('D4A', 'C3'), ('C3B', 'C1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C5A', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C3B', 'D4B'), ('C5A', 'C6A'), ('C3A', 'D4A'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
38,100% DAPE,2601,192590,310,3.69,13.72,28.6,12.8253125,"[('GL2', 'Na'), ('D3A', 'C4'), ('D2A', 'C4'), ('D3B', 'C4'), ('D4A', 'C4'), ('D2B', 'C4'), ('C5B', 'C1'), ('C5A', 'C1'), ('D4B', 'C4'), ('D1B', 'C4'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D3B', 'D4B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C5B', 'D4B'), ('D1B', 'GL2'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('D1A', 'D2A'), ('D2B', 'D3B'), ('D1B', 'D2B')]",[1.0]
39,100% DGPE,2601,192590,310,4.54,33.16,28.6,12.8253125,"[('D3A', 'C3'), ('C2A', 'C1'), ('GL2', 'Na'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C4A', 'D3A'), ('C4B', 'D3B'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'D3B'), ('C1B', 'GL2'), ('C4A', 'C5A'), ('C1A', 'GL1'), ('C4B', 'C5B')]",[1.0]
40,100% DFPE,2916,195570,310,3.49,14.17,28.6,10.03,"[('GL2', 'Na'), ('PO4', 'Qa'), ('C1B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('D3B', 'C4'), ('D4A', 'C4'), ('D2B', 'C4'), ('D4B', 'C4'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D3B', 'D4B'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('GL1', 'GL2'), ('D3A', 'D4A'), ('C1B', 'D2B'), ('C1B', 'GL2'), ('D2B', 'D3B'), ('C1A', 'GL1')]",[1.0]
41,100% DIPE,2916,195585,310,3.61,16.56,28.6,10.1,"[('GL2', 'Na'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C4A', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('D3B', 'C4'), ('D2B', 'C4'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C4A', 'D3A'), ('C4B', 'D3B'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('C1B', 'GL2'), ('D2B', 'D3B'), ('C1A', 'GL1')]",[1.0]
