,Composition,N Lipids/Layer,N_water,Temperature (K),Avg Membrane Thickness,Kappa (q^-4),Kappa (BW-DCF),Kappa (RSF),Node Features,Edge List,Graph-Level Features
250,"85.00% DXSM, 15.00% DVPE",2915,181346,310,4.95,38.85,39.36,27.34,"[('D3A', 'C3'), ('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1'), ('C5A', 'C1')]","[('C4B', 'D3B'), ('AM1', 'PO4'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('C2B', 'D3B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
251,"85.00% DXSM, 15.00% DVPC",2915,181370,310,4.91,38.87,39.11,26.41,"[('D3A', 'C3'), ('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1'), ('C5A', 'C1')]","[('C4B', 'D3B'), ('AM1', 'PO4'), ('C2A', 'C3A'), ('C2A', 'D3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C4A', 'D3A'), ('C2B', 'D3B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
252,"85.00% DXSM, 15.00% DTPE",2915,182269,310,4.89,38.51,37.98,26.42,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
253,"85.00% DXSM, 15.00% DTPC",2916,182204,310,4.85,34.85,33.66,25.68,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C6B', 'C1'), ('GL2', 'Na'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('C1A', 'C1'), ('GL1', 'Na'), ('PO4', 'Qa')]","[('AM1', 'PO4'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
254,"85.00% DXSM, 15.00% DPSM",2915,181338,310,4.96,40.49,41.7,28.01,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C6B', 'C1'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('PO4', 'Qa')]","[('AM1', 'T1A'), ('C5B', 'C6B'), ('C3B', 'C4B'), ('AM1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('C2A', 'T1A'), ('AM1', 'AM2'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C4B', 'C5B'), ('C2A', 'C3A'), ('C4A', 'C5A'), ('C3A', 'C4A')]","[0.85, 0.15]"
255,"85.00% DXSM, 15.00% DPPE",2915,181338,310,5.69,39.73,859.27,60.4,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
256,"85.00% DXSM, 15.00% DPPC",2915,181348,310,4.97,43.65,45.16,28.03,"[('C2A', 'C1'), ('C3A', 'C1'), ('NC3', 'Q0'), ('AM2', 'P5'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('C6B', 'C1'), ('GL2', 'Na'), ('T1A', 'C3'), ('AM1', 'P1'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('C1A', 'C1'), ('GL1', 'Na'), ('PO4', 'Qa')]","[('AM1', 'PO4'), ('C2A', 'C3A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
257,"85.00% DXSM, 15.00% DOPE",2915,181350,310,4.93,39.22,38.94,27.67,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('D2B', 'C3'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('C1A', 'C1'), ('D2A', 'C3'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C2A', 'C3A'), ('C3A', 'D2A'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'D2B'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
258,"85.00% DXSM, 15.00% DOPC",2915,181372,310,4.89,38.69,38.97,26.08,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C2A', 'C1'), ('PO4', 'Qa'), ('D2B', 'C3'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('C1A', 'C1'), ('D2A', 'C3'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('C1A', 'D2A'), ('AM1', 'PO4'), ('C2A', 'C3A'), ('C3A', 'D2A'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('AM2', 'C1B'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'D2B'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
259,"85.00% DXSM, 15.00% DNPE",2915,179963,310,5.15,39.34,43.68,28.3,"[('C3A', 'C1'), ('C2B', 'C1'), ('GL2', 'Na'), ('C6B', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C6A', 'C1'), ('C2A', 'C1'), ('D4A', 'C3'), ('NH3', 'Qd'), ('PO4', 'Qa'), ('NC3', 'Q0'), ('T1A', 'C3'), ('AM1', 'P1'), ('D4B', 'C3'), ('C1A', 'C1'), ('C1B', 'C1'), ('AM2', 'P5'), ('C4A', 'C1'), ('C5B', 'C1'), ('C5A', 'C1')]","[('AM1', 'PO4'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C2A', 'T1A'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('AM2', 'C1B'), ('C5A', 'C6A'), ('C3A', 'D4A'), ('C1A', 'GL1'), ('C5B', 'C6B'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('AM1', 'AM2'), ('C4B', 'C5B'), ('C3A', 'C4A'), ('AM1', 'T1A'), ('C3B', 'C4B'), ('C1B', 'GL2'), ('C4A', 'C5A')]","[0.85, 0.15]"
